HCID,d13Coto,d18Ooto,PP_ID,Location,Sample date,Month,Year,Julian date,SL_mm,Weight_g,N%,C%,d15N,d13C,CN_weight,d13C_diet,d13C_DIC,DIC.sd
HC.20,-2.922224653,0.480968215,P1,Heffern?s Cove,12,November,2019,316,87,7.82,13.07,42.19,11.99133731,-21.80942569,3.22800306,-19,1.83,0.033333333
HC.25,-3.480362587,-0.003911473,P1,Heffern?s Cove,12,November,2019,316,94,12.15,12.8,41.1,12.64694919,-20.90876898,3.2109375,-19,1.83,0.033333333
HC.35,-2.403162188,0.465771633,P1,Heffern?s Cove,12,November,2019,316,77,7.02,13.31,42.27,12.07915805,-21.60170967,3.175807663,-19,1.83,0.033333333
HC.52,-2.96515834,0.238032584,P1,Heffern?s Cove,12,November,2019,316,77,6.28,12.09,38.76,12.57288341,-21.58602228,3.205955335,-19,1.83,0.033333333
HC10,-2.825451189,0.348756138,P1,Heffern?s Cove,12,November,2019,316,80,7.24,12.02,38.5,12.12842209,-21.74802316,3.202995008,-19,1.83,0.033333333
HC100,-3.729309747,0.319429628,P1,Heffern?s Cove,12,November,2019,316,82,6.41,13.66,44.15,12.43765256,-21.56126509,3.232064422,-19,1.83,0.033333333
HC102,-2.77852852,0.283689517,P1,Heffern?s Cove,12,November,2019,316,77,5.61,12.57,40.82,11.97980501,-22.002935,3.247414479,-19,1.83,0.033333333
HC105,-3.436838989,0.303545135,P1,Heffern?s Cove,12,November,2019,316,86,8.48,13.39,43.35,12.23804398,-21.47561077,3.237490665,-19,1.83,0.033333333
HC11,-3.406687365,0.359140863,P1,Heffern?s Cove,12,November,2019,316,76,5.87,13.16,41.66,12.38405891,-21.68297716,3.165653495,-19,1.83,0.033333333
HC17,-2.888196961,0.359664362,P1,Heffern?s Cove,12,November,2019,316,81,6.5,13.09,41.38,12.22541266,-21.62199992,3.161191749,-19,1.83,0.033333333
HC19a,-3.60166787,0.131794046,P1,Heffern?s Cove,12,November,2019,316,79,6.67,13.48,42.71,12.16625673,-21.63488631,3.168397626,-19,1.83,0.033333333
HC21,-3.075019495,0.110945648,P1,Heffern?s Cove,12,November,2019,316,79,6.4,13.68,43.38,12.09563189,-21.66036866,3.171052632,-19,1.83,0.033333333
HC22,-3.087080144,0.260855558,P1,Heffern?s Cove,12,November,2019,316,80,6.55,13.54,43.49,12.11897336,-21.79890185,3.211964549,-19,1.83,0.033333333
HC29,-2.574502527,0.974664996,P1,Heffern?s Cove,12,November,2019,316,84,8.12,13.22,41.88,12.08155554,-21.80393458,3.167927383,-19,1.83,0.033333333
HC37,-3.644109673,0.140858331,P1,Heffern?s Cove,16,October,2019,289,73,4.99,13.08,41.37,12.47148757,-21.4750619,3.162844037,-19,1.83,0.033333333
HC46,-2.989589892,0.158599129,P1,Heffern?s Cove,12,November,2019,316,77,5.8,12.94,41.62,11.88468727,-21.91668553,3.216383308,-19,1.83,0.033333333
HC47,-2.881044043,0.312480162,P1,Heffern?s Cove,12,November,2019,316,77,5.89,12.38,39.5,12.29015566,-21.39773897,3.190630048,-19,1.83,0.033333333
HC49a,-2.894109747,0.316451286,P1,Heffern?s Cove,12,November,2019,316,78,5.82,12.9,41.18,11.70908957,-22.28744604,3.192248062,-19,1.83,0.033333333
HC49b,-3.06,0.13,P1,Heffern?s Cove,12,November,2019,316,78,5.82,12.9,41.18,11.70908957,-22.28744604,3.192248062,-19,1.83,0.033333333
HC50,-3.046877978,0.334321341,P1,Heffern?s Cove,12,November,2019,316,85,7.52,13.43,42.88,12.26600862,-21.70177873,3.192851824,-19,1.83,0.033333333
HC53,-2.954412996,0.363111986,P1,Heffern?s Cove,12,November,2019,316,90,9.8,12.59,39.86,12.56933831,-21.1021414,3.166004766,-19,1.83,0.033333333
HC55,-3.271005054,0.213202076,P1,Heffern?s Cove,12,November,2019,316,76,6.07,13.43,43.03,12.11883082,-21.90446553,3.204020849,-19,1.83,0.033333333
HC56,-2.933306859,0.177461965,P1,Heffern?s Cove,12,November,2019,316,84,8.93,12.79,40.68,12.62587634,-20.99587101,3.180609851,-19,1.83,0.033333333
HC9,-3.258695801,0.439988558,P1,Heffern?s Cove,12,November,2019,316,76,6.07,11.01,39.72,11.18430227,-22.45457527,3.607629428,-19,1.83,0.033333333
HC.60,-3.77,-0.04,P3,Heffern?s Cove,13,November,2019,317,44,0.97,10.89,36.19,11.19,-22.13,3.323232323,-19,1.83,0.033333333
HC.61,-2.98,0.1,P3,Heffern?s Cove,13,November,2019,317,46,1,13.28,45.22,11.52,-21.98,3.405120482,-19,1.83,0.033333333
HC.64,-3.39,-0.19,P3,Heffern?s Cove,13,November,2019,317,44,0.93,12.61,41.88,11.92,-21.97,3.321173672,-19,1.83,0.033333333
HC.65,-3.57,-0.1,P3,Heffern?s Cove,13,November,2019,317,44,1.09,12.93,42.22,11.89,-21.95,3.265274555,-19,1.83,0.033333333
HC.68,-3.01,-0.06,P3,Heffern?s Cove,13,November,2019,317,45,1.23,13,42.72,12,-22.01,3.286153846,-19,1.83,0.033333333
HC.70,-3.17,0.13,P3,Heffern?s Cove,13,November,2019,317,42,0.87,13.27,43.89,11.93,-22.01,3.307460437,-19,1.83,0.033333333
HC.71,-3.83,-0.02,P3,Heffern?s Cove,13,November,2019,317,43,0.8,12.4,41.29,11.42,-22.02,3.32983871,-19,1.83,0.033333333
HC.72,-4.06,0.11,P3,Heffern?s Cove,13,November,2019,317,42,0.78,12.49,41.2,11.75,-22.13,3.298638911,-19,1.83,0.033333333
HC.74,-3.63,-0.07,P3,Heffern?s Cove,13,November,2019,317,44,0.77,12.69,41.76,11.76,-21.73,3.290780142,-19,1.83,0.033333333
HC.75,-2.69,0.01,P3,Heffern?s Cove,13,November,2019,317,55,2.1,13.65,44.04,12.1,-21.92,3.226373626,-19,1.83,0.033333333
HC.76,-3.43,0.11,P3,Heffern?s Cove,13,November,2019,317,48,1.11,13.05,42.76,11.58,-21.91,3.276628352,-19,1.83,0.033333333
HC.82,-2.56,0.06,P3,Heffern?s Cove,13,November,2019,317,58,2.3,13,42.02,12.04,-21.75,3.232307692,-19,1.83,0.033333333
HC.84,-5.06,-0.13,P3,Heffern?s Cove,13,November,2019,317,41,0.72,12.64,42.66,12.3,-21.8,3.375,-19,1.83,0.033333333
HC.90,-2.45,0.26,P3,Heffern?s Cove,13,November,2019,317,50,1.33,13.36,43.5,11.74,-21.88,3.255988024,-19,1.83,0.033333333
HC.92,-3.31,0.37,P3,Heffern?s Cove,13,November,2019,317,51,1.21,13.05,43.34,12.04,-21.99,3.321072797,-19,1.83,0.033333333
HC.94,-2.9,0.12,P3,Heffern?s Cove,13,November,2019,317,45,0.8,12.32,41.2,11.79,-22.07,3.344155844,-19,1.83,0.033333333
HC.95,-2.9,0.07,P3,Heffern?s Cove,13,November,2019,317,49,1.21,13.02,42.06,12.18,-21.87,3.230414747,-19,1.83,0.033333333
